"c","zc","fc1","fc2","fc3","fc4","fc5","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0,0,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,1,1,0,0,0
-520.28,0.007065,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,2,2,0.05,0,0
0.46525,0.01413,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,3,3,0.1,0,0
522.16,-0.0020675,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,4,4,0.15,0,0
-0.39678,-0.018265,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,5,5,0.2,0,0
-2473.3,-0.014623,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,6,6,0.25,0,0
-7502.2,-0.010982,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,7,7,0.3,0,0
-15256,-0.0073403,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,8,8,0.35,0,0
-25403,-0.0036988,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,9,9,0.4,0,0
-37134,-5.7198e-05,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,10,10,0.45,0,0
-49287,0.0035844,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,11,11,0.5,0,0
-60532,0.0072259,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,12,12,0.55,0,0
-69579,0.010867,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,13,13,0.6,0,0
-75352,0.014509,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,14,14,0.65,0,0
-77100,0.018151,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,15,15,0.7,0,0
-74431,0.020542,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,16,16,0.75,0,0
-67274,0.020434,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,17,17,0.8,0,0
-55812,0.017825,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,18,18,0.85,0,0
-40415,0.012717,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,19,19,0.9,0,0
-21594,0.0063584,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,20,20,0.95,0,0
0,0,-4.8187e+05,1.4204e+06,-2.1609e+05,-1.5609e+05,-98676,21,21,1,0,0
